"contextWord","correct","cueWord","location","response_time","stimulus","subject_nr","trialType"
"cactus","0","chipmunk","bottom","399","o","102","filler"
"water","1","algae","bottom","493","o","102","filler"
"table","1","cloth","top","400","o","102","test"
"summer","1","money","top","347","o","102","filler"
"coconut","1","tree","top","513","x","102","test"
"nose","1","itch","bottom","399","o","102","filler"
"car","1","windows","top","431","x","102","test"
"bicycle","1","seat","top","433","x","102","test"
"tree","1","leaves","top","368","o","102","test"
"hotel","1","lobby","bottom","404","x","102","test"
"horse","1","hooves","bottom","417","x","102","test"
"college","1","lake","top","310","o","102","filler"
"honey","1","soup","top","411","x","102","filler"
"water","1","bird","top","400","x","102","filler"
"bedroom","1","curtains","top","415","x","102","test"
"oil","1","moisturizer","bottom","417","x","102","filler"
"cane","1","sugar","top","303","o","102","filler"
"mushroom","1","stalk","bottom","426","x","102","test"
"milk","1","virus","top","369","x","102","filler"
"broom","1","handle","top","355","x","102","test"
"urban","1","tower","bottom","383","x","102","filler"
"dog","0","paw","bottom","333","o","102","test"
"plastic","1","report","top","401","o","102","filler"
"trouser","1","hem","bottom","425","x","102","test"
"fruit","1","food","top","401","x","102","filler"
"grain","1","controversy","bottom","362","x","102","filler"
"steam","1","lock","top","295","o","102","filler"
"moth","1","shape","top","449","x","102","filler"
"corn","1","stalk","top","352","x","102","test"
"elephant","1","foot","bottom","406","o","102","test"
"sugar","1","extract","bottom","348","o","102","filler"
"student","1","vote","top","419","x","102","filler"
"air","1","current","bottom","561","x","102","filler"
"fruit","1","slice","bottom","370","o","102","filler"
"cowboy","1","boot","bottom","401","o","102","test"
"coal","1","town","top","413","x","102","filler"
"family","1","cow","top","355","o","102","filler"
"cowboy","0","hat","top","359","x","102","test"
"birth","1","rash","top","416","o","102","filler"
"steam","1","turbine","bottom","323","x","102","filler"
"tax","1","wealth","bottom","385","x","102","filler"
"shower","1","spout","top","352","o","102","test"
"bear","1","claw","bottom","428","o","102","test"
"college","1","property","bottom","594","x","102","filler"
"tree","1","roots","bottom","390","x","102","test"
"mushroom","1","cap","top","314","o","102","test"
"ocean","1","floor","bottom","379","x","102","test"
"pine","1","bark","bottom","319","o","102","filler"
"rain","1","puddle","bottom","433","x","102","test"
"sugar","1","alcohol","top","434","x","102","filler"
"mountain","1","peak","top","319","o","102","test"
"ocean","1","surface","top","351","o","102","test"
"church","1","pew","bottom","403","o","102","test"
"car","0","wheels","bottom","352","o","102","test"
"bear","1","snout","top","376","x","102","test"
"table","1","leg","bottom","362","x","102","test"
"clock","1","radio","bottom","428","o","102","test"
"bird","1","eye","top","511","x","102","test"
"olive","1","fertilizer","bottom","463","x","102","filler"
"coal","1","country","bottom","496","o","102","filler"
"wood","1","freshner","bottom","372","o","102","filler"
"floor","1","lamp","top","351","o","102","test"
"cane","1","juice","bottom","463","x","102","filler"
"olive","1","season","top","400","o","102","filler"
"coffee","1","stain","bottom","471","o","102","filler"
"grain","1","law","top","381","o","102","filler"
"street","1","light","top","386","o","102","test"
"air","1","power","top","321","o","102","filler"
"oil","1","treatment","top","335","o","102","filler"
"job","1","language","top","353","o","102","filler"
"bicycle","1","tire","bottom","413","o","102","test"
"pine","1","oil","top","499","x","102","filler"
"hotel","1","roof","top","402","o","102","test"
"bedroom","1","carpet","bottom","337","o","102","test"
"tax","1","pressure","top","342","o","102","filler"
"elephant","1","ear","top","429","x","102","test"
"dog","1","collar","top","394","x","102","test"
"chocolate","1","shavings","top","378","x","102","filler"
"house","1","cellar","bottom","395","x","102","test"
"shoe","1","laces","top","413","o","102","test"
"winter","1","book","top","309","o","102","filler"
"church","1","steeple","top","457","x","102","test"
"desk","1","lamp","top","414","x","102","test"
"plastic","1","shortage","bottom","388","x","102","filler"
"shower","1","drain","bottom","395","x","102","test"
"cable","0","pulley","bottom","374","o","102","filler"
"urban","1","riot","top","318","o","102","filler"
"bottle","1","cap","top","526","x","102","test"
"moth","1","wing","bottom","367","o","102","filler"
"bottle","1","coaster","bottom","320","o","102","test"
"flower","1","petal","top","309","o","102","test"
"job","1","competition","bottom","422","x","102","filler"
"coffee","1","tension","top","471","x","102","filler"
"shoe","1","soles","bottom","401","x","102","test"
"street","1","corner","bottom","401","x","102","test"
"rain","1","cloud","top","435","o","102","test"
"corn","1","seed","bottom","334","o","102","test"
"honey","1","muffin","bottom","335","o","102","filler"
"broom","1","bristles","bottom","294","o","102","test"
"cable","1","brake","top","509","x","102","filler"
"cactus","1","bee","top","494","x","102","filler"
"nose","1","sound","top","326","x","102","filler"
"summer","1","clothes","bottom","468","x","102","filler"
"student","1","accusation","bottom","372","o","102","filler"
"desk","1","drawer","bottom","311","o","102","test"
"floor","1","rug","bottom","398","x","102","test"
"bird","1","talon","bottom","406","o","102","test"
"wood","1","stove","top","473","x","102","filler"
"birth","1","cramp","bottom","362","x","102","filler"
"milk","1","bacterium","bottom","394","o","102","filler"
"chocolate","1","powder","bottom","398","o","102","filler"
"horse","1","mane","top","377","o","102","test"
"clock","1","tower","top","550","x","102","test"
"mountain","1","base","bottom","391","x","102","test"
"trouser","1","buckle","top","346","o","102","test"
"winter","1","show","bottom","425","x","102","filler"
"house","1","attic","top","314","o","102","test"
"family","1","garden","bottom","502","x","102","filler"
"flower","1","stem","bottom","427","x","102","test"
"coconut","1","milk","bottom","616","o","102","test"
